BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
2798,RAHUL GARG,02:18:31,00:06:34,2437of 5817,2251of 5107,35 to 39 yrs Male
2799,SIDDHARTHA JAIN,02:46:57,00:07:55,4269of 5817,3825of 5107,45 to 49 yrs Male
2801,DEEPAK PUROHIT,03:35:02,00:10:12,5725of 5817,5041of 5107,40 to 44 yrs Male
2804,RAKESH SWAROOP,02:39:04,00:07:33,3821of 5817,3443of 5107,35 to 39 yrs Male
2806,ANURAG SHARMA,02:20:09,00:06:39,2575of 5817,2374of 5107,45 to 49 yrs Male
2808,VISHAWBHUSHAN SUD,02:48:20,00:07:59,4355of 5817,3892of 5107,50 to 54 yrs Male
2811,JUBY GEORGE,01:55:44,00:05:30,946of 5817,47of 710,40 to 44 yrs Female
2813,ABHISHEK GOYAL,02:32:01,00:07:13,3385of 5817,3079of 5107,35 to 39 yrs Male
2815,AMIT AMBAR,02:05:24,00:05:57,1534of 5817,1434of 5107,45 to 49 yrs Male
2816,D K S RAUTELA,02:16:39,00:06:29,2299of 5817,2128of 5107,55 to 59 yrs Male
2817,MIRTUNJAY SINGH,02:49:33,00:08:03,4411of 5817,3939of 5107,45 to 49 yrs Male
2818,KABITA SAHOO,03:20:59,00:09:32,5498of 5817,641of 710,45 to 49 yrs Female
2819,SHASHI SANDHYA,02:31:41,00:07:12,3364of 5817,299of 710,40 to 44 yrs Female
2820,RAJESH DEVGAN,02:45:20,00:07:51,4182of 5817,3754of 5107,50 to 54 yrs Male
2821,SUSHANT KUMAR,03:05:10,00:08:47,5079of 5817,4516of 5107,30 to 34 yrs Male
2822,AJAY SIROHI,01:57:04,00:05:33,1007of 5817,954of 5107,45 to 49 yrs Male
2823,SUBRAT SETHI,02:26:36,00:06:57,3025of 5817,2767of 5107,45 to 49 yrs Male
2824,VARUN UNNIKRISHNAN,02:53:28,00:08:14,4608of 5817,4107of 5107,35 to 39 yrs Male
2826,ATUL KUMAR,02:07:45,00:06:04,1687of 5817,1572of 5107,35 to 39 yrs Male
2827,PRANNOY KHURANA,02:52:20,00:08:11,4554of 5817,4062of 5107,30 to 34 yrs Male
2832,ANSHAK SINGHAL,03:24:23,00:09:42,5561of 5817,4913of 5107,30 to 34 yrs Male
2833,ANOOP BHAT,02:48:22,00:07:59,4359of 5817,3896of 5107,50 to 54 yrs Male
2834,MOHAMED IDRIS,01:30:05,00:04:17,133of 5817,126of 5107,50 to 54 yrs Male
2835,VIKAS ARORA,02:56:58,00:08:24,4782of 5817,4260of 5107,40 to 44 yrs Male
2836,SUNIL KATARIYA,02:59:25,00:08:31,4880of 5817,4342of 5107,55 to 59 yrs Male
2838,NEMICHAND MALAV,03:14:07,00:09:13,5316of 5817,4703of 5107,30 to 34 yrs Male
2840,VIMAL BHATT,01:40:41,00:04:47,325of 5817,308of 5107,40 to 44 yrs Male
2841,INDERJIT SINGH,01:37:09,00:04:37,241of 5817,228of 5107,45 to 49 yrs Male
2842,NITIN SHARMA,02:40:56,00:07:38,3934of 5817,3535of 5107,40 to 44 yrs Male
2844,SUSHIL KUMAR,01:34:27,00:04:29,186of 5817,174of 5107,40 to 44 yrs Male
2845,ARPIT AGARWAL,02:19:10,00:06:36,2488of 5817,2297of 5107,35 to 39 yrs Male
2846,RAJESH KUMAR CHAND,01:26:40,00:04:07,90of 5817,86of 5107,45 to 49 yrs Male
2847,RAJESH SHARMA,02:42:19,00:07:42,4010of 5817,3600of 5107,45 to 49 yrs Male
2848,TEJINDER SINGH SHAHI,02:12:58,00:06:19,2035of 5817,1889of 5107,55 to 59 yrs Male
2849,SAIBAL DASGUPTA,02:41:31,00:07:40,3963of 5817,3563of 5107,50 to 54 yrs Male
2850,SONAM SINGH,01:59:34,00:05:41,1171of 5817,66of 710,35 to 39 yrs Female
2851,ANUJ GUPTA,02:09:08,00:06:08,1763of 5817,1641of 5107,35 to 39 yrs Male
2852,MENTA SIMON,03:04:34,00:08:45,5061of 5817,559of 710,40 to 44 yrs Female
2853,ALOK SRIVASTAVA,01:55:44,00:05:30,945of 5817,899of 5107,50 to 54 yrs Male
2855,ARIJIT GANGULY,01:53:48,00:05:24,836of 5817,794of 5107,40 to 44 yrs Male
2856,VAIBHAV JAIN,02:02:20,00:05:48,1344of 5817,1260of 5107,35 to 39 yrs Male
2857,CHANDRASHEKHAR TAMANE,02:19:13,00:06:36,2492of 5817,2301of 5107,50 to 54 yrs Male
2858,SURENDER CHHABRA,01:49:53,00:05:13,646of 5817,614of 5107,40 to 44 yrs Male
2859,SHYAM VATS,02:47:49,00:07:58,4325of 5817,3872of 5107,50 to 54 yrs Male
2861,VIVEK DIXIT,02:41:53,00:07:41,3989of 5817,3582of 5107,40 to 44 yrs Male
2863,MALINI AGARWAL,03:07:32,00:08:54,5153of 5817,584of 710,50 to 54 yrs Female
2864,MOHIT MAMGAIN,01:51:45,00:05:18,738of 5817,704of 5107,45 to 49 yrs Male
2865,RAJEEV SURI,02:39:27,00:07:34,3839of 5817,3459of 5107,40 to 44 yrs Male
2866,AYUSH KUMAR,02:17:10,00:06:31,2344of 5817,2172of 5107,45 to 49 yrs Male
2867,JAI SINGH,02:34:28,00:07:20,3528of 5817,3203of 5107,30 to 34 yrs Male
2868,NISHANT KATOCH,01:51:35,00:05:18,726of 5817,692of 5107,45 to 49 yrs Male
2869,HARDEEP SINGH,02:01:56,00:05:47,1318of 5817,1237of 5107,40 to 44 yrs Male
2871,RAJIV JAMKHEDKAR,02:11:46,00:06:15,1952of 5817,1815of 5107,50 to 54 yrs Male
2872,NAMRATA JAIN,02:24:44,00:06:52,2904of 5817,248of 710,45 to 49 yrs Female
2873,RAM AUTAR,02:07:26,00:06:03,1671of 5817,1559of 5107,65 to 69 yrs Male
2874,AMIT MITTAL,02:18:07,00:06:33,2414of 5817,2230of 5107,55 to 59 yrs Male
2875,SAMIT JAIN,02:56:23,00:08:22,4749of 5817,4233of 5107,45 to 49 yrs Male
2876,RAJNEESH MANN,02:23:00,00:06:47,2784of 5817,2549of 5107,40 to 44 yrs Male
2877,PAYAL KAPOOR,02:25:14,00:06:54,2928of 5817,254of 710,40 to 44 yrs Female
2878,TAGORE YARAGORLA,02:11:45,00:06:15,1950of 5817,1813of 5107,45 to 49 yrs Male
2879,VIPIN JAIN,02:22:54,00:06:47,2775of 5817,2541of 5107,35 to 39 yrs Male
2880,ANSHUMAN THAKUR,01:51:22,00:05:17,714of 5817,681of 5107,40 to 44 yrs Male
2881,RAHIL KALRA,01:44:48,00:04:59,441of 5817,419of 5107,30 to 34 yrs Male
2882,VINOD KUMAR TIWARI,01:50:26,00:05:15,667of 5817,634of 5107,50 to 54 yrs Male
