BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
1246,HARPREET SIDHU,04:27:49,00:06:21,2169of 7194,2034of 6528,35 to 39 yrs Male
1248,BIPENDER NEGI,05:27:23,00:07:46,5060of 7194,4651of 6528,50 to 54 yrs Male
1249,UTKRANT KURLEKAR,04:44:09,00:06:45,2988of 7194,2783of 6528,55 to 59 yrs Male
1250,AJAY NACHARE,04:25:29,00:06:18,2062of 7194,1938of 6528,35 to 39 yrs Male
1251,PRITAM PASHTE,03:59:10,00:05:41,1040of 7194,993of 6528,40 to 44 yrs Male
1252,BHAGWAN SINGH,06:25:06,00:09:08,6740of 7194,6121of 6528,45 to 49 yrs Male
1253,GANESH PATIL,05:23:20,00:07:40,4879of 7194,4489of 6528,40 to 44 yrs Male
1254,JOE AUGUSTINE,04:15:35,00:06:04,1642of 7194,1554of 6528,40 to 44 yrs Male
1258,ANIL DESHMUKH,05:07:59,00:07:18,4209of 7194,3886of 6528,40 to 44 yrs Male
1259,ACHAL THAKUR,04:26:51,00:06:20,2121of 7194,1993of 6528,45 to 49 yrs Male
1260,ANURAG SHARMA,03:37:46,00:05:10,392of 7194,374of 6528,40 to 44 yrs Male
1261,ANKUSH LOKHANDE,03:48:15,00:05:25,653of 7194,626of 6528,50 to 54 yrs Male
1265,VISHAL GAVHALE,04:05:20,00:05:49,1259of 7194,1201of 6528,35 to 39 yrs Male
1267,SACHIN NAGARKAR,05:33:52,00:07:55,5334of 7194,4892of 6528,40 to 44 yrs Male
1268,DINESH TANDEL,04:39:39,00:06:38,2740of 7194,2556of 6528,40 to 44 yrs Male
1275,SHISHIR RANJAN,05:25:49,00:07:44,4991of 7194,4591of 6528,45 to 49 yrs Male
1276,MILIND PHADKE,04:38:54,00:06:37,2706of 7194,2523of 6528,50 to 54 yrs Male
1284,SIDDHARTHA SINGH,03:48:05,00:05:25,649of 7194,622of 6528,40 to 44 yrs Male
1287,MERONTHUNG LOTHA,03:50:10,00:05:28,711of 7194,683of 6528,40 to 44 yrs Male
1289,AMISHA JAIN,05:36:44,00:07:59,5438of 7194,454of 666,30 to 34 yrs Female
1290,VIVEK SONAGRA,04:50:41,00:06:54,3341of 7194,3102of 6528,40 to 44 yrs Male
1291,ROHAN BAGDE,04:20:52,00:06:11,1862of 7194,1754of 6528,40 to 44 yrs Male
1292,VINAY RAOKHANDE,03:59:28,00:05:41,1058of 7194,1010of 6528,40 to 44 yrs Male
1293,SONALI HONRAO,04:31:17,00:06:26,2362of 7194,155of 666,45 to 49 yrs Female
1294,HARI BHARDWAJ,04:20:53,00:06:11,1864of 7194,1756of 6528,40 to 44 yrs Male
1295,ASHWINI KUMAR JHA,04:11:02,00:05:57,1472of 7194,1397of 6528,40 to 44 yrs Male
1298,BHASKAR MAHESHWARI,04:59:08,00:07:06,3782of 7194,3502of 6528,30 to 34 yrs Male
1302,MAYUR BHAT,05:18:05,00:07:33,4641of 7194,4273of 6528,45 to 49 yrs Male
1304,TANVEER ANSARI,05:25:33,00:07:43,4979of 7194,4580of 6528,40 to 44 yrs Male
1305,MAYURESH MOKAL,05:43:26,00:08:09,5715of 7194,5227of 6528,40 to 44 yrs Male
1309,VISHWAS SURYAWANSHI,02:56:09,00:04:11,44of 7194,44of 6528,35 to 39 yrs Male
1310,DAMODAR VERLEKAR,03:46:20,00:05:22,603of 7194,578of 6528,45 to 49 yrs Male
